0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Lane Configurations             ,1>  ,0   ,0   ,<1  ,1>  ,0,,,,,,,,,,,,
"Traffic Vol, veh/h              ",544 ,51  ,77  ,195 ,54  ,276,,,,,,,,,,,,
"Future Vol, veh/h               ",544 ,51  ,77  ,195 ,54  ,276,,,,,,,,,,,,
"Conflicting Peds, #/hr          ",0   ,0   ,0   ,0   ,0   ,0,,,,,,,,,,,,
Sign Control                    ,Free,Free,Free,Free,Stop,Stop,,,,,,,,,,,,
RT Channelized                  ,-   ,None,-   ,None,-   ,None,,,,,,,,,,,,
Storage Length                  ,-   ,-   ,-   ,-   ,0   ,-,,,,,,,,,,,,
"Veh in Median Storage, #        ",0   ,-   ,-   ,0   ,0   ,-,,,,,,,,,,,,
"Grade, %                        ",0   ,-   ,-   ,0   ,0   ,-,,,,,,,,,,,,
Peak Hour Factor                ,85  ,85  ,85  ,85  ,85  ,85,,,,,,,,,,,,
"Heavy Vehicles, %               ",5   ,7   ,7   ,5   ,7   ,7,,,,,,,,,,,,
Mvmt Flow                       ,640 ,60  ,91  ,229 ,64  ,325,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,EB  ,    ,WB  ,    ,NE,,,,,,,,,,,,,
"HCM Control Delay, s/v          ",0   ,    ,2.7 ,    ,88.1,,,,,,,,,,,,,
HCM LOS                         ,    ,    ,    ,    ,F,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,    ,NELn1,EBT ,EBR ,WBL ,WBT,,,,,,,,,,,,
Capacity (veh/h)                ,    ,377 ,-   ,-   ,874 ,-,,,,,,,,,,,,
HCM Lane V/C Ratio              ,    ,1.03,-   ,-   ,0.104,-,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,    ,88.1,-   ,-   ,9.6 ,0,,,,,,,,,,,,
HCM Lane LOS                    ,    ,F   ,-   ,-   ,A   ,A,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,    ,12.8,-   ,-   ,0.3 ,-,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,NEL,NET,NER,SWL,SWT,SWR
Lane Configurations             ,    ,    ,    ,1>  ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,1>  ,0   ,0   ,<1,
Traffic Volume (vph)            ,    ,    ,    ,28  ,    ,67  ,    ,    ,    ,    ,    ,    ,    ,695 ,37  ,37  ,288,
Future Volume (vph)             ,    ,    ,    ,28  ,    ,67  ,    ,    ,    ,    ,    ,    ,    ,695 ,37  ,37  ,288,
Ideal Flow (vphpl)              ,    ,    ,    ,1900,    ,1900,    ,    ,    ,    ,    ,    ,    ,1900,1900,1900,1900,
Grade (%)                       ,    ,    ,    ,0%  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1%  ,    ,    ,0%,
Lane Util. Factor               ,    ,    ,    ,1.00,    ,1.00,    ,    ,    ,    ,    ,    ,    ,1.00,1.00,1.00,1.00,
Frt                             ,    ,    ,    ,0.905,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.993,,,,
Flt Protected                   ,    ,    ,    ,0.985,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.994,
Satd. Flow (prot)               ,    ,    ,    ,1613,    ,0   ,    ,    ,    ,    ,    ,    ,    ,1788,0   ,0   ,1799,
Flt Permitted                   ,    ,    ,    ,0.985,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.994,
Satd. Flow (perm)               ,    ,    ,    ,1613,    ,0   ,    ,    ,    ,    ,    ,    ,    ,1788,0   ,0   ,1799,
Link Speed (mph)                ,    ,    ,    ,30  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,45  ,    ,    ,45,
Link Distance (ft)              ,    ,    ,    ,535 ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1495,    ,    ,1423,
Travel Time (s)                 ,    ,    ,    ,12.2,    ,    ,    ,    ,    ,    ,    ,    ,    ,22.7,    ,    ,21.6,
Peak Hour Factor                ,    ,    ,    ,0.85,    ,0.85,    ,    ,    ,    ,    ,    ,    ,0.85,0.85,0.85,0.85,
Heavy Vehicles (%)              ,    ,    ,    ,5%  ,    ,5%  ,    ,    ,    ,    ,    ,    ,    ,5%  ,5%  ,5%  ,5%,
Adj. Flow (vph)                 ,    ,    ,    ,33  ,    ,79  ,    ,    ,    ,    ,    ,    ,    ,818 ,44  ,44  ,339,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,    ,    ,    ,112 ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,862 ,0   ,0   ,383,
Enter Blocked Intersection      ,    ,    ,    ,No  ,    ,No  ,    ,    ,    ,    ,    ,    ,    ,No  ,No  ,No  ,No,
Lane Alignment                  ,    ,    ,    ,Left,    ,Right,    ,    ,    ,    ,    ,    ,    ,Left,Right,Left,Left,
Median Width(ft)                ,    ,    ,    ,12  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,    ,    ,0,
Link Offset(ft)                 ,    ,    ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,    ,    ,0,
Crosswalk Width(ft)             ,    ,    ,    ,16  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,16  ,    ,    ,16,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,    ,    ,    ,1.00,    ,1.00,    ,    ,    ,    ,    ,    ,    ,1.01,1.01,1.00,1.00,
Turning Speed (mph)             ,    ,    ,    ,15  ,    ,9   ,    ,    ,    ,    ,    ,    ,    ,    ,9   ,15,,
Sign Control                    ,    ,    ,    ,Stop,    ,    ,    ,    ,    ,    ,    ,    ,    ,Free,    ,    ,Free,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",2.6,,,,,,,,,,,,,,,,,
Movement,WBL,WBR,NET,NER,SWL,SWT,,,,,,,,,,,,
Lane Configurations             ,1>  ,0   ,1>  ,0   ,0   ,<1,,,,,,,,,,,,
"Traffic Vol, veh/h              ",28  ,67  ,695 ,37  ,37  ,288,,,,,,,,,,,,
"Future Vol, veh/h               ",28  ,67  ,695 ,37  ,37  ,288,,,,,,,,,,,,
"Conflicting Peds, #/hr          ",0   ,0   ,0   ,0   ,0   ,0,,,,,,,,,,,,
Sign Control                    ,Stop,Stop,Free,Free,Free,Free,,,,,,,,,,,,
RT Channelized                  ,-   ,None,-   ,None,-   ,None,,,,,,,,,,,,
Storage Length                  ,0   ,-   ,-   ,-   ,-   ,-,,,,,,,,,,,,
"Veh in Median Storage, #        ",0   ,-   ,0   ,-   ,-   ,0,,,,,,,,,,,,
"Grade, %                        ",0   ,-   ,1   ,-   ,-   ,0,,,,,,,,,,,,
Peak Hour Factor                ,85  ,85  ,85  ,85  ,85  ,85,,,,,,,,,,,,
"Heavy Vehicles, %               ",5   ,5   ,5   ,5   ,5   ,5,,,,,,,,,,,,
Mvmt Flow                       ,33  ,79  ,818 ,44  ,44  ,339,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,WB  ,    ,NE  ,    ,SW,,,,,,,,,,,,,
"HCM Control Delay, s/v          ",27.2,    ,0   ,    ,1.1,,,,,,,,,,,,,
HCM LOS                         ,D,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,    ,NET ,NER ,WBLn1,SWL ,SWT,,,,,,,,,,,,
Capacity (veh/h)                ,    ,-   ,-   ,272 ,767 ,-,,,,,,,,,,,,
HCM Lane V/C Ratio              ,    ,-   ,-   ,0.411,0.057,-,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,    ,-   ,-   ,27.2,10  ,0,,,,,,,,,,,,
HCM Lane LOS                    ,    ,-   ,-   ,D   ,A   ,A,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,    ,-   ,-   ,1.9 ,0.2 ,-,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,NEL,NET,NER,SWL,SWT,SWR
Lane Configurations             ,1>  ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,<1  ,    ,    ,1>  ,0
Traffic Volume (vph)            ,64  ,    ,11  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,16  ,712 ,    ,    ,246 ,17
Future Volume (vph)             ,64  ,    ,11  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,16  ,712 ,    ,    ,246 ,17
Ideal Flow (vphpl)              ,1900,    ,1900,    ,    ,    ,    ,    ,    ,    ,    ,    ,1900,1900,    ,    ,1900,1900
Lane Width (ft)                 ,10  ,    ,10  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,12  ,12  ,    ,    ,12  ,12
Grade (%)                       ,2%  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1%  ,    ,    ,1%,
Lane Util. Factor               ,1.00,    ,1.00,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.00,1.00,    ,    ,1.00,1.00
Frt                             ,0.980,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.991,
Flt Protected                   ,0.959,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.999,,,,
Satd. Flow (prot)               ,1452,    ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,1801,    ,    ,1716,0
Flt Permitted                   ,0.959,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.999,,,,
Satd. Flow (perm)               ,1452,    ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,1801,    ,    ,1716,0
Link Speed (mph)                ,30  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,45  ,    ,    ,45,
Link Distance (ft)              ,266 ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1423,    ,    ,2064,
Travel Time (s)                 ,6.0 ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,21.6,    ,    ,31.3,
Peak Hour Factor                ,0.85,    ,0.85,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.85,0.85,    ,    ,0.85,0.85
Heavy Vehicles (%)              ,16% ,    ,0%  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0%  ,5%  ,    ,    ,7%  ,41%
Adj. Flow (vph)                 ,75  ,    ,13  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,19  ,838 ,    ,    ,289 ,20
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,88  ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,857 ,    ,    ,309 ,0
Enter Blocked Intersection      ,No  ,    ,No  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,No  ,No  ,    ,    ,No  ,No
Lane Alignment                  ,Left,    ,Right,    ,    ,    ,    ,    ,    ,    ,    ,    ,Left,Left,    ,    ,Left,Right
Median Width(ft)                ,10  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,    ,    ,0,
Link Offset(ft)                 ,0   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0   ,    ,    ,0,
Crosswalk Width(ft)             ,16  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,16  ,    ,    ,16,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,1.11,    ,1.11,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.01,1.01,    ,    ,1.01,1.01
Turning Speed (mph)             ,15  ,    ,9   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,15  ,    ,    ,    ,    ,9
Sign Control                    ,Stop,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,Free,    ,    ,Free,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",2.9,,,,,,,,,,,,,,,,,
Movement,EBL,EBR,NEL,NET,SWT,SWR,,,,,,,,,,,,
Lane Configurations             ,1>  ,0   ,0   ,<1  ,1>  ,0,,,,,,,,,,,,
"Traffic Vol, veh/h              ",64  ,11  ,16  ,712 ,246 ,17,,,,,,,,,,,,
"Future Vol, veh/h               ",64  ,11  ,16  ,712 ,246 ,17,,,,,,,,,,,,
"Conflicting Peds, #/hr          ",0   ,0   ,0   ,0   ,0   ,0,,,,,,,,,,,,
Sign Control                    ,Stop,Stop,Free,Free,Free,Free,,,,,,,,,,,,
RT Channelized                  ,-   ,None,-   ,None,-   ,None,,,,,,,,,,,,
Storage Length                  ,0   ,-   ,-   ,-   ,-   ,-,,,,,,,,,,,,
"Veh in Median Storage, #        ",0   ,-   ,-   ,0   ,0   ,-,,,,,,,,,,,,
"Grade, %                        ",2   ,-   ,-   ,1   ,1   ,-,,,,,,,,,,,,
Peak Hour Factor                ,85  ,85  ,85  ,85  ,85  ,85,,,,,,,,,,,,
"Heavy Vehicles, %               ",16  ,0   ,0   ,5   ,7   ,41,,,,,,,,,,,,
Mvmt Flow                       ,75  ,13  ,19  ,838 ,289 ,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,EB  ,    ,NE  ,    ,SW,,,,,,,,,,,,,
"HCM Control Delay, s/v          ",39.4,    ,0.2 ,    ,0,,,,,,,,,,,,,
HCM LOS                         ,E,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,    ,NEL ,NET ,EBLn1,SWT ,SWR,,,,,,,,,,,,
Capacity (veh/h)                ,    ,1263,-   ,190 ,-   ,-,,,,,,,,,,,,
HCM Lane V/C Ratio              ,    ,0.015,-   ,0.464,-   ,-,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,    ,7.9 ,0   ,39.4,-   ,-,,,,,,,,,,,,
HCM Lane LOS                    ,    ,A   ,A   ,E   ,-   ,-,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,    ,0   ,-   ,2.2 ,-   ,-,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,SEL,SET,SER,,,
Lane Configurations             ,0   ,<1  ,    ,    ,1>  ,0   ,    ,    ,    ,    ,    ,    ,1>  ,    ,0,,,
Traffic Volume (vph)            ,0   ,788 ,    ,    ,264 ,1   ,    ,    ,    ,    ,    ,    ,1   ,    ,1,,,
Future Volume (vph)             ,0   ,788 ,    ,    ,264 ,1   ,    ,    ,    ,    ,    ,    ,1   ,    ,1,,,
Ideal Flow (vphpl)              ,1900,1900,    ,    ,1900,1900,    ,    ,    ,    ,    ,    ,1900,    ,1900,,,
Lane Width (ft)                 ,12  ,12  ,    ,    ,12  ,12  ,    ,    ,    ,    ,    ,    ,11  ,    ,11,,,
Grade (%)                       ,    ,2%  ,    ,    ,-5% ,    ,    ,    ,    ,    ,    ,    ,0%,,,,,
Lane Util. Factor               ,1.00,1.00,    ,    ,1.00,1.00,    ,    ,    ,    ,    ,    ,1.00,    ,1.00,,,
Frt                             ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.932,,,,,
Flt Protected                   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.976,,,,,
Satd. Flow (prot)               ,0   ,1758,    ,    ,1755,0   ,    ,    ,    ,    ,    ,    ,1114,    ,0,,,
Flt Permitted                   ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.976,,,,,
Satd. Flow (perm)               ,0   ,1758,    ,    ,1755,0   ,    ,    ,    ,    ,    ,    ,1114,    ,0,,,
Link Speed (mph)                ,    ,45  ,    ,    ,45  ,    ,    ,    ,    ,    ,    ,    ,30,,,,,
Link Distance (ft)              ,    ,219 ,    ,    ,226 ,    ,    ,    ,    ,    ,    ,    ,485,,,,,
Travel Time (s)                 ,    ,3.3 ,    ,    ,3.4 ,    ,    ,    ,    ,    ,    ,    ,11.0,,,,,
Peak Hour Factor                ,0.86,0.86,    ,    ,0.86,0.86,    ,    ,    ,    ,    ,    ,0.86,    ,0.86,,,
Heavy Vehicles (%)              ,0%  ,7%  ,    ,    ,11% ,0%  ,    ,    ,    ,    ,    ,    ,100%,    ,0%,,,
Adj. Flow (vph)                 ,0   ,916 ,    ,    ,307 ,1   ,    ,    ,    ,    ,    ,    ,1   ,    ,1,,,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,0   ,916 ,    ,    ,308 ,0   ,    ,    ,    ,    ,    ,    ,2   ,    ,0,,,
Enter Blocked Intersection      ,No  ,No  ,    ,    ,No  ,No  ,    ,    ,    ,    ,    ,    ,No  ,    ,No,,,
Lane Alignment                  ,Left,Left,    ,    ,Left,Right,    ,    ,    ,    ,    ,    ,Left,    ,Right,,,
Median Width(ft)                ,    ,0   ,    ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,11,,,,,
Link Offset(ft)                 ,    ,0   ,    ,    ,0   ,    ,    ,    ,    ,    ,    ,    ,0,,,,,
Crosswalk Width(ft)             ,    ,16  ,    ,    ,16  ,    ,    ,    ,    ,    ,    ,    ,16,,,,,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,1.01,1.01,    ,    ,0.97,0.97,    ,    ,    ,    ,    ,    ,1.04,    ,1.04,,,
Turning Speed (mph)             ,15  ,    ,    ,    ,    ,9   ,    ,    ,    ,    ,    ,    ,15  ,    ,9,,,
Sign Control                    ,    ,Free,    ,    ,Free,    ,    ,    ,    ,    ,    ,    ,Stop,,,,,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",0,,,,,,,,,,,,,,,,,
Movement,EBL,EBT,WBT,WBR,SEL,SER,,,,,,,,,,,,
Lane Configurations             ,0   ,<1  ,1>  ,0   ,1>  ,0,,,,,,,,,,,,
"Traffic Vol, veh/h              ",0   ,788 ,264 ,1   ,1   ,1,,,,,,,,,,,,
"Future Vol, veh/h               ",0   ,788 ,264 ,1   ,1   ,1,,,,,,,,,,,,
"Conflicting Peds, #/hr          ",0   ,0   ,0   ,0   ,0   ,0,,,,,,,,,,,,
Sign Control                    ,Free,Free,Free,Free,Stop,Stop,,,,,,,,,,,,
RT Channelized                  ,-   ,None,-   ,None,-   ,None,,,,,,,,,,,,
Storage Length                  ,-   ,-   ,-   ,-   ,0   ,-,,,,,,,,,,,,
"Veh in Median Storage, #        ",-   ,0   ,0   ,-   ,0   ,-,,,,,,,,,,,,
"Grade, %                        ",-   ,2   ,-5  ,-   ,0   ,-,,,,,,,,,,,,
Peak Hour Factor                ,86  ,86  ,86  ,86  ,86  ,86,,,,,,,,,,,,
"Heavy Vehicles, %               ",0   ,7   ,11  ,0   ,100 ,0,,,,,,,,,,,,
Mvmt Flow                       ,0   ,916 ,307 ,1   ,1   ,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Approach                        ,EB  ,    ,WB  ,    ,SE,,,,,,,,,,,,,
"HCM Control Delay, s/v          ",0   ,    ,0   ,    ,21.8,,,,,,,,,,,,,
HCM LOS                         ,    ,    ,    ,    ,C,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Minor Lane/Major Mvmt           ,    ,EBL ,EBT ,WBT ,WBR ,SELn1,,,,,,,,,,,,
Capacity (veh/h)                ,    ,1264,-   ,-   ,-   ,217,,,,,,,,,,,,
HCM Lane V/C Ratio              ,    ,-   ,-   ,-   ,-   ,0.011,,,,,,,,,,,,
HCM Control Delay (s/veh)       ,    ,0   ,-   ,-   ,-   ,21.8,,,,,,,,,,,,
HCM Lane LOS                    ,    ,A   ,-   ,-   ,-   ,C,,,,,,,,,,,,
HCM 95th %tile Q (veh)          ,    ,0   ,-   ,-   ,-   ,0,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
Lane Group,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR,,,,,,
Lane Configurations             ,    ,1>  ,0   ,0   ,<1  ,    ,1>  ,    ,0,,,,,,,,,
Traffic Volume (vph)            ,    ,788 ,1   ,3   ,265 ,    ,0   ,    ,4,,,,,,,,,
Future Volume (vph)             ,    ,788 ,1   ,3   ,265 ,    ,0   ,    ,4,,,,,,,,,
Ideal Flow (vphpl)              ,    ,1900,1900,1900,1900,    ,1900,    ,1900,,,,,,,,,
Lane Width (ft)                 ,    ,12  ,12  ,12  ,12  ,    ,11  ,    ,11,,,,,,,,,
Grade (%)                       ,    ,5%  ,    ,    ,-5% ,    ,8%,,,,,,,,,,,
Lane Util. Factor               ,    ,1.00,1.00,1.00,1.00,    ,1.00,    ,1.00,,,,,,,,,
Frt                             ,    ,    ,    ,    ,    ,    ,0.865,,,,,,,,,,,
Flt Protected,,,,,,,,,,,,,,,,,,
Satd. Flow (prot)               ,    ,1731,0   ,0   ,1751,    ,1525,    ,0,,,,,,,,,
Flt Permitted,,,,,,,,,,,,,,,,,,
Satd. Flow (perm)               ,    ,1731,0   ,0   ,1751,    ,1525,    ,0,,,,,,,,,
Link Speed (mph)                ,    ,45  ,    ,    ,45  ,    ,30,,,,,,,,,,,
Link Distance (ft)              ,    ,226 ,    ,    ,439 ,    ,325,,,,,,,,,,,
Travel Time (s)                 ,    ,3.4 ,    ,    ,6.7 ,    ,7.4,,,,,,,,,,,
Peak Hour Factor                ,    ,0.87,0.87,0.87,0.87,    ,0.87,    ,0.87,,,,,,,,,
Heavy Vehicles (%)              ,    ,7%  ,0%  ,33% ,11% ,    ,0%  ,    ,0%,,,,,,,,,
Adj. Flow (vph)                 ,    ,906 ,1   ,3   ,305 ,    ,0   ,    ,5,,,,,,,,,
Shared Lane Traffic (%),,,,,,,,,,,,,,,,,,
Lane Group Flow (vph)           ,    ,907 ,0   ,0   ,308 ,    ,5   ,    ,0,,,,,,,,,
Enter Blocked Intersection      ,    ,No  ,No  ,No  ,No  ,    ,No  ,    ,No,,,,,,,,,
Lane Alignment                  ,    ,Left,Right,Left,Left,    ,Left,    ,Right,,,,,,,,,
Median Width(ft)                ,    ,12  ,    ,    ,12  ,    ,11,,,,,,,,,,,
Link Offset(ft)                 ,    ,0   ,    ,    ,0   ,    ,0,,,,,,,,,,,
Crosswalk Width(ft)             ,    ,16  ,    ,    ,16  ,    ,16,,,,,,,,,,,
Two way Left Turn Lane,,,,,,,,,,,,,,,,,,
Headway Factor                  ,    ,1.03,1.03,0.97,0.97,    ,1.10,    ,1.10,,,,,,,,,
Turning Speed (mph)             ,    ,    ,9   ,15  ,    ,    ,15  ,    ,9,,,,,,,,,
Sign Control                    ,    ,Free,    ,    ,Free,    ,Stop,,,,,,,,,,,
Intersection Summary,,,,,,,,,,,,,,,,,,
Area Type:                      ,Other,,,,,,,,,,,,,,,,,
Control Type: Unsignalized,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
Intersection,,,,,,,,,,,,,,,,,,
"Int Delay, s/veh                ",0.1,,,,,,,,,,,,,,,,,
Movement,EBT,EBR,WBL,WBT,NBL,NBR,,,,,,,,,,,,
Lane Configurations             ,1>  ,0   ,0   ,<1  ,1>  ,0,,,,,,,,,,,,
